año,mes,administración,cantidad_vehículos
2010,Eneror,Mexico,1094202
2010,febrero,ARG,1106044
2010,M,Ciudad de Buenos Aires,1113739
2010,Abrilddd,Ciudad de Buenos Aires,1123774
2010,MayoEd,Ciudad de Buenos Aires,1132885
2010,Juni,Ciudad de Buenos Aires,1142124
2010,Julio,Ciudad de Buenos Aires,1152177
2010,Agosto,Ciudad de Buenos Aires,1162110
2010,Septiembre,Ciudad de Buenos Aires,1172083
2010,Octubre,Ciudad de Buenos Aires,1183037
2010,Noviembre,Ciudad de Buenos Aires,1192963
2010,Diciembre,Ciudad de Buenos Aires,1203331
2010,Enero,Argentina,9395122
2010,Febrero,Argentina,9473131
2010,Marzo,Argentina,9517429
2010,Abril,Argentina,9574218
2010,Mayo,Argentina,9624870
2010,Junio,Argentina,9675173
2010,Julio,Argentina,9729662
2010,Agosto,Argentina,9786588
2010,Septiembre,Argentina,9843488
2010,Octubre,Argentina,9906979
2010,Noviembre,Argentina,9960306
2010,Diciembre,Argentina,10014003
2011,Enero,Ciudad de Buenos Aires,1212025
2011,Febrero,Ciudad de Buenos Aires,1227727
2011,Marzo,Ciudad de Buenos Aires,1237515
2011,Abril,Ciudad de Buenos Aires,1247406
2011,Mayo,Ciudad de Buenos Aires,1249089
2011,Junio,Ciudad de Buenos Aires,1253790
2011,Julio,Ciudad de Buenos Aires,1254920
2011,Agosto,Ciudad de Buenos Aires,1256247
2011,Septiembre,Ciudad de Buenos Aires,1268274
2011,Octubre,Ciudad de Buenos Aires,1271934
2011,Noviembre,Ciudad de Buenos Aires,1271912
2011,Diciembre,Ciudad de Buenos Aires,1275281
2011,Enero,Argentina,10052466
2011,Febrero,Argentina,10155707
2011,Marzo,Argentina,10215510
2011,Abril,Argentina,10275961
2011,Mayo,Argentina,10340890
2011,Junio,Argentina,10416509
2011,Julio,Argentina,10485859
2011,Agosto,Argentina,10562283
2011,Septiembre,Argentina,10646440
2011,Octubre,Argentina,10716169
2011,Noviembre,Argentina,10778448
2011,Diciembre,Argentina,10815732
2012,Enero,Ciudad de Buenos Aires,1280523
2012,Febrero,Ciudad de Buenos Aires,1283110
2012,Marzo,Ciudad de Buenos Aires,1290021
2012,Abril,Ciudad de Buenos Aires,1294911
2012,Mayo,Ciudad de Buenos Aires,1297425
2012,Junio,Ciudad de Buenos Aires,1302085
2012,Julio,Ciudad de Buenos Aires,1308588
2012,Agosto,Ciudad de Buenos Aires,1308994
2012,Septiembre,Ciudad de Buenos Aires,1306801
2012,Octubre,Ciudad de Buenos Aires,1295956
2012,Noviembre,Ciudad de Buenos Aires,1256416
2012,Diciembre,Ciudad de Buenos Aires,1323365
2012,Enero,Argentina,10925332
2012,Febrero,Argentina,10981140
2012,Marzo,Argentina,11061167
2012,Abril,Argentina,11119740
2012,Mayo,Argentina,11192226
2012,Junio,Argentina,11260309
2012,Julio,Argentina,11331453
2012,Agosto,Argentina,11401784
2012,Septiembre,Argentina,11458876
2012,Octubre,Argentina,11510729
2012,Noviembre,Argentina,11506021
2012,Diciembre,Argentina,11626894
2013,Enero,Ciudad de Buenos Aires,1336083
2013,Febrero,Ciudad de Buenos Aires,1340352
2013,Marzo,Ciudad de Buenos Aires,1354485
2013,Abril,Ciudad de Buenos Aires,1353569
2013,Mayo,Ciudad de Buenos Aires,1359665
2013,Junio,Ciudad de Buenos Aires,1366084
2013,Julio,Ciudad de Buenos Aires,1372111
2013,Agosto,Ciudad de Buenos Aires,1377668
2013,Septiembre,Ciudad de Buenos Aires,1383457
2013,Octubre,Ciudad de Buenos Aires,1390134
2013,Noviembre,Ciudad de Buenos Aires,1395329
2013,Diciembre,Ciudad de Buenos Aires,1398595
2013,Enero,Argentina,11737809
2013,Febrero,Argentina,11798875
2013,Marzo,Argentina,11923536
2013,Abril,Argentina,11944444
2013,Mayo,Argentina,12032139
2013,Junio,Argentina,12104381
2013,Julio,Argentina,12188209
2013,Agosto,Argentina,12266187
2013,Septiembre,Argentina,12347197
2013,Octubre,Argentina,12431758
2013,Noviembre,Argentina,12493333
2013,Diciembre,Argentina,12539370
2014,Enero,Ciudad de Buenos Aires,1407799
