Posicion,Equipo,Puntos,Jugados,G,E,P,GF,GC,DG
1,Racing Club,7,3,2,1,0,11,4,+7
2,Gimnasia (LP),7,3,2,1,0,7,2,+5
3,Talleres (C),7,3,2,1,0,5,1,+4
4,Huracan,7,3,2,1,0,5,2,+3
5,Union,7,3,2,1,0,4,1,+3
6,Ind Rivadavia,7,3,2,1,0,3,0,+3
7,River Plate,6,3,2,0,1,6,1,+5
8,Estudiantes (LP),6,3,2,0,1,4,2,+2
9,Newells,6,3,2,0,1,3,1,+2
10,Argentinos,6,3,2,0,1,4,5,-1
11,Rosario Central,4,3,1,1,1,5,4,+1
12,Boca Juniors,4,3,1,1,1,4,3,+1
13,Instituto,4,3,1,1,1,3,3,0
14,Lanus,4,3,1,1,1,3,4,-1
15,Velez,4,3,1,1,1,3,4,-1
16,Atl Tucuman,4,3,1,1,1,2,3,-1
17,Barracas Central,4,3,1,1,1,2,3,-1
18,Belgrano,4,3,1,1,1,6,8,-2
19,Riestra,3,3,1,0,2,1,4,-3
20,Independiente,2,3,0,2,1,2,4,-2
21,Platense,2,3,0,2,1,1,3,-2
22,San Lorenzo,1,2,0,1,1,1,2,-1
23,Godoy Cruz,1,2,0,1,1,0,1,-1
24,Sarmiento (J),1,3,0,1,2,2,4,-2
25,Def y Justicia,1,3,0,1,2,2,5,-3
26,Banfield,1,3,0,1,2,1,5,-4
27,Tigre,1,3,0,1,2,1,6,-5
28,Central Cba (SdE),0,3,0,0,3,3,9,-6
