Posicion,Equipo,Puntos,Jugados,G,E,P,GF,GC,DG
1,Boca Juniors,52,27,16,4,7,34,28,+6
2,Racing Club,50,27,14,8,5,41,24,+17
3,River Plate,47,27,14,5,8,43,22,+21
4,Huracan,47,27,12,11,4,35,21,+14
5,Atl Tucuman,46,27,12,10,5,32,22,+10
6,San Lorenzo,43,27,10,13,4,33,23,+10
7,Tigre,43,27,11,10,6,41,32,+9
8,Argentinos,42,27,12,6,9,33,24,+9
9,Gimnasia (LP),41,27,11,8,8,26,18,+8
10,Patronato,40,27,11,7,9,31,27,+4
11,Newells,40,27,11,7,9,26,22,+4
12,Def y Justicia,40,27,10,10,7,29,27,+2
13,Talleres (C),35,27,9,8,10,28,26,+2
14,Independiente,35,27,9,8,10,31,31,0
15,Godoy Cruz,35,27,9,8,10,25,29,-4
16,Central Cba (SdE),34,27,10,4,13,34,37,-3
17,Barracas Central,34,27,8,10,9,31,37,-6
18,Estudiantes (LP),33,27,9,6,12,28,40,-12
19,Platense,32,27,7,11,9,23,25,-2
20,Rosario Central,32,27,7,11,9,24,28,-4
21,Sarmiento (J),32,27,8,8,11,27,32,-5
22,Union,32,27,8,8,11,28,36,-8
23,Arsenal,30,27,6,12,9,28,29,-1
24,Banfield,30,27,7,9,11,23,29,-6
25,Colon,29,27,7,8,12,24,36,-12
26,Velez,28,27,6,10,11,30,33,-3
27,Lanus,21,27,5,6,16,22,40,-18
28,Aldosivi,16,27,4,4,19,16,48,-32
